"gbifID";"datasetKey";"occurrenceID";"kingdom";"phylum";"class";"order";"family";"genus";"species";"infraspecificEpithet";"taxonRank";"scientificName";"verbatimScientificName";"verbatimScientificNameAuthorship";"countryCode";"locality";"stateProvince";"occurrenceStatus";"individualCount";"publishingOrgKey";"decimalLatitude";"decimalLongitude";"coordinateUncertaintyInMeters";"coordinatePrecision";"elevation";"elevationAccuracy";"depth";"depthAccuracy";"eventDate";"day";"month";"year";"taxonKey";"speciesKey";"basisOfRecord";"institutionCode";"collectionCode";"catalogNumber";"recordNumber";"identifiedBy";"dateIdentified";"license";"rightsHolder";"recordedBy";"typeStatus";"establishmentMeans";"lastInterpreted";"mediaType";"issue";"gbif_species_to_verbatim";"Specimen.ID";"Bnet.UI";"Familiy_kawahara";"Genus_kawahara";"Species_kawahara";"kawahara_index";"phy_tip_name"
4060703481;"f3130a8a-4508-42b4-9737-fbda77748438";"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.5111674";"Animalia";"Arthropoda";"Insecta";"Lepidoptera";"Papilionidae";"Atrophaneura";"Atrophaneura semperi";"";"SPECIES";"Atrophaneura semperi (Felder & Felder, 1861)";"Atrophaneura semperi aphtonia Rothschild, 1908";"Rothschild, 1908";"PH";"Philippines";"";"PRESENT";NA;"396d5f30-dea9-11db-8ab4-b8a03c50a862";25.515211;131.187513;14;NA;NA;NA;NA;NA;"";NA;NA;NA;1937609;1937609;"PRESERVED_SPECIMEN";"";"Lepidoptera";"ZMA.INS.5111674";"";"";"";"CC0_1_0";"Naturalis Biodiversity Center";"";"";NA;"2023-08-30T09:40:28.683Z";"StillImage;StillImage";"COUNTRY_COORDINATE_MISMATCH;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH";"Atrophaneura semperi";"LEP32867";"BN002196";"Papilionidae";"Atrophaneura";"semperi";1844;"BN002196_LEP32867_Papilionidae_Papilioninae_Troidini_Atrophaneura_semperi"
814090196;"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3";"MCZ:Ent:173703";"Animalia";"Arthropoda";"Insecta";"Lepidoptera";"Papilionidae";"Atrophaneura";"Atrophaneura dixoni";"";"SPECIES";"Atrophaneura dixoni (Grose-Smith, 1901)";"Atrophaneura dixoni (Grose-Smith, 1900)";"(Grose-Smith, 1900)";"ID";"Sulawesi [Celebes]";"";"PRESENT";1;"b4640710-8e03-11d8-b956-b8a03c50a862";-1.93856;121.82558;561558;1e-05;NA;NA;NA;NA;"";NA;NA;NA;1937593;1937593;"PRESERVED_SPECIMEN";"MCZ";"Ent";"173703";"";"[no agent data]";"";"CC_BY_NC_4_0";"President and Fellows of Harvard College";"[no agent data]";"";NA;"2023-08-31T05:59:50.713Z";"StillImage";"CONTINENT_COORDINATE_MISMATCH;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY";"Atrophaneura dixoni";"SRR8954516";NA;"Papilionidae";"Atrophaneura";"dixoni";1845;"SRR8954516_Atrophaneura_dixoni"
814089868;"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3";"MCZ:Ent:173684";"Animalia";"Arthropoda";"Insecta";"Lepidoptera";"Papilionidae";"Byasa";"Byasa alcinous";"";"SPECIES";"Byasa alcinous (Klug, 1836)";"Byasa alcinous (Klug, 1836)";"(Klug, 1836)";"JP";"Yokohama";"Kanagawa Prefecture";"PRESENT";1;"b4640710-8e03-11d8-b956-b8a03c50a862";35.46541;139.62225;17292;1e-05;NA;NA;NA;NA;"";NA;NA;NA;1937556;1937556;"PRESERVED_SPECIMEN";"MCZ";"Ent";"173684";"";"Rachel L. Hawkins Sipe";"2021-09-07T00:00:00";"CC_BY_NC_4_0";"President and Fellows of Harvard College";"Hermann Rolle";"";NA;"2023-08-31T05:57:03.205Z";"StillImage";"INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY";"Byasa alcinous";"LEP36333";"BN005195";"Papilionidae";"Byasa";"alcinous";1843;"BN005195_LEP36333_Papilionidae_Papilioninae_Troidini_Byasa_alcinous"
2847250303;"f8acba56-93a4-4de3-a407-00e57337822e";"ZRC_ENT00024482";"Animalia";"Arthropoda";"Insecta";"Lepidoptera";"Papilionidae";"Losaria";"Losaria coon";"doubledayi";"SUBSPECIES";"Losaria coon doubledayi";"Losaria coon doubledayi";"";"MY";"Klang District, coastal plain";"Selangor";"PRESENT";1;"14c4c7da-fb56-44f7-9589-76bd670bf8a7";3.04365;101.447347;12500;NA;NA;NA;NA;NA;"1966-01-06T00:00:00";6;1;1966;11597827;1939222;"PRESERVED_SPECIMEN";"ZRC";"ENT";"";"";"";"";"CC_BY_4_0";"";"W. A. Fleming";"";NA;"2023-08-26T16:47:31.159Z";"StillImage;StillImage";"OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_COLLECTION_MISMATCH";"Losaria coon doubledayi";"YI-16-P041";"BN006868";"Papilionidae";"Losaria";"coon";1848;"BN006868_YI16P041_Papilionidae_Papilioninae_Troidini_Losaria_coon"
2517941031;"ab67e429-389c-43a7-8799-36c67ece82d6";"http://inabif.lipi.go.id/kehati/mzb/MZB.LEPI.41376";"Animalia";"Arthropoda";"Insecta";"Lepidoptera";"Papilionidae";"Pachliopta";"Pachliopta aristolochiae";"";"SPECIES";"Pachliopta aristolochiae (Fabricius, 1775)";"";"";"ID";"";"Aceh";"PRESENT";NA;"07acecfd-5994-47a7-bd1b-ccdbf534973b";5.522286;95.251144;NA;NA;20;NA;NA;NA;"1941-08-11T00:00:00";11;8;1941;1939168;1939168;"PRESERVED_SPECIMEN";"MZB";"";"MZB-LEPI-41376";"";"D. Peggie";"";"CC_BY_NC_4_0";"BIFA4-037";"F. Foeken Seen";"";NA;"2023-08-26T09:34:26.838Z";"StillImage;StillImage";"CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY";"Pachliopta aristolochiae";"LEP31648";NA;"Papilionidae";"Pachliopta";"aristolochiae";1846;"LEP31648_Pachliopta_aristolochiae_ME"
1319018957;"821cc27a-e3bb-4bc5-ac34-89ada245069d";"http://n2t.net/ark:/65665/3505935d2-8be4-4420-abf0-8a0889a3fb82";"Animalia";"Arthropoda";"Insecta";"Lepidoptera";"Papilionidae";"Pachliopta";"Pachliopta kotzebuea";"";"SPECIES";"Pachliopta kotzebuea (Eschscholtz, 1821)";"Pachliopta kotzebuea";"";"PH";"Los Banos";"Luzon";"PRESENT";1;"bc092ff0-02e4-11dc-991f-b8a03c50a862";NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;1939195;1939195;"PRESERVED_SPECIMEN";"USNM";"ENT";"USNMENT00672070";"";"Poole, R. W.";"";"CC0_1_0";"";"[Not Stated]";"";NA;"2023-09-02T11:39:51.108Z";"StillImage;StillImage;StillImage";"OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;CONTINENT_DERIVED_FROM_COUNTRY";"Pachliopta kotzebuea";"SRR8954525";NA;"Papilionidae";"Pachliopta";"kotzebuea";1847;"SRR8954525_Pachliopta_kotzebuea"
1099993788;"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3";"MCZ:Ent:180615";"Animalia";"Arthropoda";"Insecta";"Lepidoptera";"Papilionidae";"Parides";"Parides agavus";"";"SPECIES";"Parides agavus (Drury, 1782)";"Parides agavus (Drury, 1782)";"(Drury, 1782)";"BR";"Blumenau";"Santa Catarina";"PRESENT";1;"b4640710-8e03-11d8-b956-b8a03c50a862";-26.86411;-49.11558;31372;1e-05;NA;NA;NA;NA;"";NA;NA;NA;1937155;1937155;"PRESERVED_SPECIMEN";"MCZ";"Ent";"180615";"";"[no agent data]";"";"CC_BY_NC_4_0";"President and Fellows of Harvard College";"[no agent data]";"";NA;"2023-08-31T05:59:50.978Z";"StillImage";"INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY";"Parides agavus";"LEP53130";"BN005317";"Papilionidae";"Parides";"agavus";1839;"BN005317_LEP53130_Papilionidae_Papilioninae_Troidini_Parides_agavus"
1457664791;"9be3b97c-bc8c-490c-8021-dc7c75408076";"961be4cb-f5a2-40e0-8868-27299521140d";"Animalia";"Arthropoda";"Insecta";"Lepidoptera";"Papilionidae";"Parides";"Parides photinus";"";"SPECIES";"Parides photinus (Doubleday, 1844)";"Parides photinus";"(Doubleday 1844)";"MX";"Tepoztlan";"Morelos";"PRESENT";NA;"2d6267a0-0561-11d8-b851-b8a03c50a862";18.986026;-99.099141;3036;NA;NA;NA;NA;NA;"1981-08-04T00:00:00";4;8;1981;1937162;1937162;"PRESERVED_SPECIMEN";"UMNH";"ENT";"UMNH.ent.0040878";"";"";"";"CC_BY_NC_4_0";"";"James R.M. Pearce";"";NA;"2023-09-01T14:28:50.090Z";"StillImage;StillImage";"CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY";"Parides photinus";"SRR8954530";NA;"Papilionidae";"Parides";"photinus";1840;"SRR8954530_Parides_photinus"
925594984;"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3";"MCZ:Ent:173595";"Animalia";"Arthropoda";"Insecta";"Lepidoptera";"Papilionidae";"Parides";"Parides eurimedes";"mylotes";"SUBSPECIES";"Parides eurimedes mylotes (H.Bates, 1861)";"Parides eurimedes mylotes (Bates, 1861)";"(Bates, 1861)";"";"[no specific locality data]";"";"PRESENT";1;"b4640710-8e03-11d8-b956-b8a03c50a862";NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;4299915;1937136;"PRESERVED_SPECIMEN";"MCZ";"Ent";"173595";"";"[no agent data]";"";"CC_BY_NC_4_0";"President and Fellows of Harvard College";"[no agent data]";"";NA;"2023-08-31T05:59:45.480Z";"StillImage";"INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY";"Parides eurimedes";"SRR921629";NA;"Papilionidae";"Parides";"eurimedes";1841;"SRR921629_Papilionoidea_Parides_eurimedes"
3093960310;"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3";"MCZ:Ent:173033";"Animalia";"Arthropoda";"Insecta";"Lepidoptera";"Papilionidae";"Euryades";"Euryades corethrus";"";"SPECIES";"Euryades corethrus (Boisduval, 1836)";"Euryades corethrus (Boisduval, 1836)";"(Boisduval, 1836)";"BR";"Pelotas";"Rio Grande do Sul";"PRESENT";1;"b4640710-8e03-11d8-b956-b8a03c50a862";-31.76667;-52.33333;30360;1e-05;NA;NA;NA;NA;"1963-02-09T00:00:00";9;2;1963;5141258;5141258;"PRESERVED_SPECIMEN";"MCZ";"Ent";"173033";"";"[no agent data]";"";"CC_BY_NC_4_0";"President and Fellows of Harvard College";"Czeslaw M. Biezanko";"";NA;"2023-08-31T05:57:03.216Z";"StillImage";"INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY";"Euryades corethrus";"SRR8954508";NA;"Papilionidae";"Euryades";"corethrus";1838;"SRR8954508_Euryades_corethrus"
